train images;nb epochs;loss (criterion);optimizer;test images;learning rate;train time (min);training notes;test mean err;Test note;testing on training images mean surf error;Test on train notes;max batch size;Colonne1;sec per image
30 first of dataset;30;CrossEntropy;SGD no inertia;30 from 300 to 330;1,00E-03;NA;Loss diverges almost immediately;NA;NA;NA;NA;;;
30 first of dataset;30;CrossEntropy;SGD no inertia;30 from 300 to 330;1,00E-05;43;while training, losses go down slowly and are like 0.1;-1275,00%;way under estimated, but still a few values above and near 0 ;-301,47%;Between -1'000% and 0% or a little above, doesn't look too bad;;;2,866666667
2 first of dataset;500;CrossEntropy;SGD no inertia;30 from 300 to 330;1,00E-05;32;Loss below 0.1 as soon as 200 epochs, but staying there. Belo 1 already at 50 epochs;-60,38%;error from -3500% to 3000% but centered around -500% and 500%... ;-53,71%;looks to detect bark.;;;1,92
30 first of dataset;30;CrossEntropy;SGD inertia 0.9;30 from 300 to 330;1,00E-04;Unknown;Loss goes down very fast and then very slowly but is around 0.2 Results are all black though on training and testing images;-855296,67%;Seems all black…;-4449740,00%;Seems all black…;;;
2 first of dataset;100;CrossEntropy;SGD inertia 0.9;30 from 300 to 330;1,00E-04;Unknown;all predictions seem all black although loss goes from very high thousands to under 1 very quickly, and then slighly moves lower and lower…;-855296,67%;all seem black;-3124950,00%;all seem black…;;;
2 first of dataset;100;CrossEntropy;SGD inertia 0.9;30 from 300 to 330;1,00E-06;Unknown;printing all images during training as lr=1e-4 abd 1e-5 were all black… Now not all seem black !;1174,50%;a lot of other stuff predicted : bark, surrounding, but still looks not terrible. All values overestimate, from 100% to 10000%. Mostly under 3500% though;91,48%;very clearly embolism regions selected, but a lot of bark and some surrounding.;;;
30 first of dataset;30;CrossEntropy;SGD inertia 0.9;30 from 300 to 330;1,00E-06;44;loss goes to 0.1 and ppredictions look meaningfull, but quite underpredicted and with a lot of bark;-7992,30%;very low mean because of crazy outliers. But they look very low anyway, all underpredicted, with very few predicted pixels. Still, general shape is visible, and mostly the embolisms;-806,17%;most between -500% and 0%, they look pretty thin, and lowest is -3000%;;;2,933333333
2 first of dataset;500;CrossEntropy;SGD inertia 0.9;30 from 300 to 330;1,00E-06;33;loss around 0.1 at the end, more 0.15 around 250 epoch and 0.2-0.3 at 50;537.7080921414951%;embolism regions are not detected to their complete surface, but still detecting a lot of outside stuff sur ends up overestimating !!! Most results between -100% and 1000% (15 between 0-100%) , but outliers at 1500% and 6500%.;34,34%;looks good but a lot of bark and embolism regions not detected in all surface;;;1,98
30 first of dataset;70;CrossEntropy;SGD inertia 0.9;30 from 300 to 330;1,00E-06;200;very long to train, planned 500 epochs but stopped at 70. Loss below 0.1;178,86%;mostly around -500% to 500%, a lot of surrounding and embolism areas not fully detected.;-27,87%;looks pretty good but still from -150% to 200% …;;;5,71
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
